SAMPID,Sample,Tissue
GTEX-1192X-1526-SM-5H11I,sample150,Adipose Tissue
GTEX-1192X-1826-SM-5GIE2,sample151,Esophagus
GTEX-1192X-2726-SM-5N9DN,sample152,Skin
GTEX-1192X-3126-SM-5N9BY,sample153,Brain
GTEX-1192X-3226-SM-5987D,sample154,Brain
GTEX-11DXW-0006-SM-5NQ7Y,sample155,Blood
GTEX-11DXW-0008-SM-5Q59V,sample156,Skin
GTEX-11DXW-0011-R1a-SM-DNZZD,sample157,Brain
GTEX-11DXW-0011-R3b-SM-DNZZE,sample158,Brain
GTEX-11DXW-0011-R5b-SM-DO11D,sample159,Brain
GTEX-11DXW-0011-R6a-SM-DO11N,sample160,Brain
GTEX-11DXW-0011-R7b-SM-DO119,sample161,Brain
GTEX-11DXW-0226-SM-5H122,sample162,Skin
GTEX-11DXW-0326-SM-5H11W,sample163,Adipose Tissue
GTEX-11DXW-0526-SM-5H127,sample164,Blood Vessel
GTEX-11DXW-0726-SM-5H12J,sample165,Muscle
GTEX-11DXW-0826-SM-5H118,sample166,Skin
GTEX-11DXW-1026-SM-5H11K,sample167,Brain
GTEX-11DXW-1126-SM-5H12Q,sample168,Brain
GTEX-11DXX-0005-SM-5NQ8B,sample169,Blood
GTEX-11DXX-0008-SM-5Q5B8,sample170,Skin
GTEX-11DXX-0226-SM-5P9HL,sample171,Thyroid
GTEX-11DXX-0326-SM-5PNWC,sample172,Heart
GTEX-11DXX-0426-SM-5EQ5F,sample173,Blood Vessel
GTEX-11DXX-0526-SM-5PNVR,sample174,Heart
GTEX-11DXX-0826-SM-5GZZP,sample175,Blood Vessel
GTEX-11DXX-1026-SM-5H11E,sample176,Esophagus
GTEX-11DXX-1126-SM-5GZZK,sample177,Esophagus
GTEX-11DXX-1226-SM-5GICD,sample178,Esophagus
GTEX-11DXX-1826-SM-5H126,sample179,Colon
GTEX-11DXX-1926-SM-5EGJK,sample180,Colon
GTEX-11DXX-2026-SM-5EGJL,sample181,Adipose Tissue
GTEX-11DXX-2126-SM-5PNYR,sample182,Skin
GTEX-11DXX-2326-SM-9YFKS,sample183,Adipose Tissue
GTEX-11DXX-2426-SM-5GZZW,sample184,Skin
GTEX-11DXX-2626-SM-5Q5A3,sample185,Blood Vessel
GTEX-11DXX-2726-SM-5PNXO,sample186,Muscle
GTEX-11DXY-0006-SM-5NQ8N,sample187,Blood
GTEX-11DXY-0008-SM-5QGR4,sample188,Skin
GTEX-11DXY-0011-R10b-SM-DO12C,sample189,Brain
GTEX-11DXY-0011-R11a-SM-DNZZN,sample190,Brain
GTEX-11DXY-0011-R5b-SM-DNZZL,sample191,Brain
GTEX-11DXY-0011-R6a-SM-DNZZF,sample192,Brain
GTEX-11DXY-0011-R7a-SM-DO11L,sample193,Brain
GTEX-11DXY-0011-R8a-SM-DO11M,sample194,Brain
GTEX-11DXY-0126-SM-5H11Q,sample195,Skin
GTEX-11DXY-0326-SM-5H12F,sample196,Adipose Tissue
GTEX-11DXY-0426-SM-5H12R,sample197,Thyroid
GTEX-11DXY-0826-SM-5EGGR,sample198,Heart
GTEX-11DXY-1026-SM-5987V,sample199,Heart
GTEX-11DXY-1126-SM-5987W,sample200,Blood Vessel
GTEX-11DXY-1326-SM-5987Z,sample201,Esophagus
GTEX-11DXY-1426-SM-5N9CN,sample202,Esophagus
GTEX-11DXY-1526-SM-5H129,sample203,Esophagus
GTEX-11DXY-2026-SM-5N9CZ,sample204,Colon
GTEX-11DXY-2626-SM-5GIE7,sample205,Skin
GTEX-11DXY-2726-SM-5GID2,sample206,Muscle
GTEX-11DXY-3126-SM-5N9BT,sample207,Brain
GTEX-11DXY-3226-SM-5GIDE,sample208,Brain
GTEX-11DXZ-0006-SM-5LZZH,sample209,Blood
GTEX-11DXZ-0326-SM-5EGH1,sample210,Heart
GTEX-11DXZ-0426-SM-5987Y,sample211,Blood Vessel
GTEX-11DXZ-0526-SM-5GU7J,sample212,Blood Vessel
GTEX-11DXZ-0626-SM-5GU77,sample213,Heart
GTEX-11DXZ-0926-SM-5N9CG,sample214,Thyroid
GTEX-11DXZ-1026-SM-5N9D5,sample215,Esophagus
GTEX-11DXZ-1226-SM-5H11L,sample216,Esophagus
GTEX-11DXZ-1426-SM-5H12A,sample217,Adipose Tissue
GTEX-11DXZ-1626-SM-5GIDI,sample218,Colon
GTEX-11DXZ-1726-SM-5H12M,sample219,Colon
GTEX-11DXZ-2026-SM-5987S,sample220,Skin
GTEX-11DXZ-2326-SM-5EGGV,sample221,Skin
GTEX-11DXZ-2426-SM-5N9DT,sample222,Muscle
GTEX-11DXZ-2626-SM-59882,sample223,Blood Vessel
GTEX-11DYG-0006-SM-5NQB2,sample224,Blood
GTEX-11DYG-0008-SM-5QGR5,sample225,Skin
GTEX-11DYG-0011-R10b-SM-DNZZO,sample226,Brain
GTEX-11DYG-0011-R11a-SM-DNZZP,sample227,Brain
GTEX-11DYG-0011-R5a-SM-DO928,sample228,Brain
GTEX-11DYG-0011-R6a-SM-DO936,sample229,Brain
GTEX-11DYG-0011-R7b-SM-EXUS6,sample230,Brain
GTEX-11DYG-0011-R8a-SM-DO93F,sample231,Brain
GTEX-11DYG-0126-SM-59883,sample232,Skin
GTEX-11DYG-0826-SM-5N9GH,sample233,Thyroid
GTEX-11DYG-0926-SM-5EGGW,sample234,Blood Vessel
GTEX-11DYG-1026-SM-5A5JQ,sample235,Heart
GTEX-11DYG-1226-SM-5N9DC,sample236,Blood Vessel
GTEX-11DYG-1326-SM-5N9DO,sample237,Esophagus
GTEX-11DYG-1426-SM-5A5JR,sample238,Esophagus
GTEX-11DYG-1526-SM-5A5JS,sample239,Skin
GTEX-11DYG-1926-SM-5H12I,sample240,Esophagus
GTEX-11DYG-2026-SM-5EGGX,sample241,Adipose Tissue
GTEX-11DYG-2926-SM-5H132,sample242,Brain
GTEX-11DZ1-0008-SM-5QGR3,sample243,Skin
GTEX-11DZ1-0011-R10b-SM-DO943,sample244,Brain
GTEX-11DZ1-0011-R11b-SM-DO11W,sample245,Brain
GTEX-11DZ1-0011-R2a-SM-DNZZM,sample246,Brain
GTEX-11DZ1-0011-R3a-SM-DNZYY,sample247,Brain
GTEX-11DZ1-0011-R5a-SM-DO11J,sample248,Brain
GTEX-11DZ1-0011-R6b-SM-DNZZG,sample249,Brain
GTEX-11DZ1-0011-R7a-SM-DNZZH,sample250,Brain
GTEX-11DZ1-0011-R8b-SM-DNZZI,sample251,Brain
GTEX-11DZ1-0011-R9a-SM-DO933,sample252,Brain
GTEX-11DZ1-0126-SM-5985Q,sample253,Skin
GTEX-11DZ1-0226-SM-5A5KF,sample254,Adipose Tissue
GTEX-11DZ1-0926-SM-5EQ5R,sample255,Muscle
GTEX-11DZ1-2026-SM-5A5KG,sample256,Esophagus
GTEX-11DZ1-2426-SM-5GZZX,sample257,Skin
GTEX-11DZ1-2726-SM-5A5KH,sample258,Thyroid
GTEX-11DZ1-2926-SM-5A5KI,sample259,Brain
GTEX-11EI6-0005-SM-5N9GN,sample260,Blood
GTEX-11EI6-0008-SM-5QGR7,sample261,Skin
GTEX-11EI6-0011-R10a-SM-DO93R,sample262,Brain
GTEX-11EI6-0011-R11a-SM-DO11V,sample263,Brain
GTEX-11EI6-0011-R1a-SM-DO93L,sample264,Brain
GTEX-11EI6-0011-R8a-SM-DO93M,sample265,Brain
GTEX-11EI6-0126-SM-5985R,sample266,Skin
GTEX-11EI6-0226-SM-5EQ64,sample267,Adipose Tissue
GTEX-11EI6-0326-SM-5EQ6G,sample268,Muscle
GTEX-11EI6-0526-SM-5985S,sample269,Blood Vessel
GTEX-11EI6-0726-SM-59866,sample270,Thyroid
GTEX-11EI6-1526-SM-5P9GL,sample271,Esophagus
GTEX-11EI6-2626-SM-5PNVT,sample272,Colon
GTEX-11EI6-2826-SM-5H11D,sample273,Skin
GTEX-11EI6-2926-SM-5985U,sample274,Brain
GTEX-11EI6-3026-SM-5GZZO,sample275,Brain
GTEX-11EM3-0001-SM-5Q5BD,sample276,Blood
GTEX-11EM3-0005-SM-5N9DK,sample277,Blood
GTEX-11EM3-0126-SM-5985K,sample278,Thyroid
GTEX-11EM3-0226-SM-5985Y,sample279,Blood Vessel
GTEX-11EM3-0426-SM-5N9BZ,sample280,Heart
GTEX-11EM3-0526-SM-5H12N,sample281,Blood Vessel
GTEX-11EM3-0626-SM-5H12Z,sample282,Heart
GTEX-11EM3-0726-SM-5GZZM,sample283,Esophagus
GTEX-11EM3-0826-SM-5N9CC,sample284,Esophagus
GTEX-11EM3-0926-SM-5A5KK,sample285,Esophagus
GTEX-11EM3-1126-SM-5A5KM,sample286,Adipose Tissue
GTEX-11EM3-1226-SM-5N9DD,sample287,Skin
GTEX-11EM3-1526-SM-5A5KN,sample288,Colon
GTEX-11EM3-1626-SM-5N9CO,sample289,Colon
GTEX-11EM3-2126-SM-5H11M,sample290,Muscle
GTEX-11EM3-2226-SM-5H11Y,sample291,Blood Vessel
GTEX-11EM3-2326-SM-5H12B,sample292,Adipose Tissue
GTEX-11EM3-2426-SM-59861,sample293,Skin
GTEX-11EMC-0002-SM-5Q5DO,sample294,Blood
GTEX-11EMC-0006-SM-5O9DN,sample295,Blood
GTEX-11EMC-0008-SM-5Q5DR,sample296,Skin
GTEX-11EMC-0011-R10a-SM-DNZZJ,sample297,Brain
GTEX-11EMC-0011-R11b-SM-DNZZK,sample298,Brain
GTEX-11EMC-0011-R2b-SM-DO114,sample299,Brain
GTEX-11EMC-0011-R8b-SM-DO91Z,sample300,Brain
GTEX-11EMC-0011-R9b-SM-DO921,sample301,Brain
GTEX-11EMC-0226-SM-5EGLP,sample302,Thyroid
GTEX-11EMC-0726-SM-5EGJO,sample303,Heart
GTEX-11EMC-0826-SM-59862,sample304,Heart
GTEX-11EMC-0926-SM-59863,sample305,Blood Vessel
GTEX-11EMC-1426-SM-5N9E4,sample306,Colon
GTEX-11EMC-2226-SM-5A5JW,sample307,Esophagus
GTEX-11EMC-2626-SM-59864,sample308,Muscle
GTEX-11EMC-2826-SM-5PNY6,sample309,Adipose Tissue
GTEX-11EMC-2926-SM-5EQ4F,sample310,Skin
GTEX-11EMC-3026-SM-5EQ4R,sample311,Blood Vessel
GTEX-11EMC-3226-SM-5EGKW,sample312,Brain
GTEX-11EMC-3326-SM-5P9JH,sample313,Brain
GTEX-11EQ8-0006-SM-5P9HJ,sample314,Blood
GTEX-11EQ8-0008-SM-5Q5DJ,sample315,Skin
GTEX-11EQ8-0226-SM-5EQ5G,sample316,Adipose Tissue
GTEX-11EQ8-0426-SM-5N9DP,sample317,Blood Vessel
GTEX-11EQ8-0526-SM-5N9BC,sample318,Muscle
GTEX-11EQ8-0826-SM-5N9FG,sample319,Thyroid
GTEX-11EQ8-0926-SM-5H12V,sample320,Skin
GTEX-11EQ8-1326-SM-5EGJQ,sample321,Heart
GTEX-11EQ8-2626-SM-5N9BO,sample322,Colon
GTEX-11EQ9-0002-SM-5QGQ1,sample323,Blood
GTEX-11EQ9-0006-SM-5LUB6,sample324,Blood
GTEX-11EQ9-0008-SM-5Q5DK,sample325,Skin
GTEX-11EQ9-0626-SM-5A5K1,sample326,Thyroid
GTEX-11EQ9-0726-SM-5A5K2,sample327,Esophagus
GTEX-11EQ9-0826-SM-5986Y,sample328,Esophagus
GTEX-11EQ9-0926-SM-5HL6I,sample329,Esophagus
GTEX-11EQ9-1126-SM-5987I,sample330,Adipose Tissue
GTEX-11EQ9-1426-SM-5987G,sample331,Colon
GTEX-11EQ9-1526-SM-5PNY7,sample332,Colon
GTEX-11EQ9-1626-SM-5PNY8,sample333,Skin
GTEX-11EQ9-2126-SM-5PNVW,sample334,Muscle
GTEX-11EQ9-2226-SM-5987H,sample335,Blood Vessel
GTEX-11EQ9-2426-SM-5HL5T,sample336,Skin
GTEX-11EQ9-2526-SM-5HL66,sample337,Adipose Tissue
GTEX-11GS4-0006-SM-5SI9M,sample338,Blood
GTEX-11GS4-0008-SM-5QGRA,sample339,Skin
GTEX-11GS4-0011-R1a-SM-DO129,sample340,Brain
GTEX-11GS4-0011-R2a-SM-DO942,sample341,Brain
GTEX-11GS4-0226-SM-5HL77,sample342,Skin
GTEX-11GS4-0326-SM-5N9F7,sample343,Blood Vessel
GTEX-11GS4-0426-SM-5N9CD,sample344,Heart
GTEX-11GS4-0526-SM-5A5KQ,sample345,Heart
GTEX-11GS4-0626-SM-5A5LC,sample346,Blood Vessel
GTEX-11GS4-0826-SM-5986J,sample347,Thyroid
GTEX-11GS4-1026-SM-5N9DE,sample348,Adipose Tissue
GTEX-11GS4-1426-SM-5N9D2,sample349,Esophagus
GTEX-11GS4-1826-SM-5HL4T,sample350,Colon
GTEX-11GS4-2526-SM-5A5KT,sample351,Muscle
GTEX-11GS4-2626-SM-5A5LD,sample352,Adipose Tissue
GTEX-11GS4-2726-SM-5A5LE,sample353,Skin
GTEX-11GS4-2926-SM-5A5LF,sample354,Blood Vessel
GTEX-11GS4-3126-SM-5A5LH,sample355,Brain
GTEX-11GSO-0005-SM-5O9CA,sample356,Blood
GTEX-11GSO-0011-R1b-SM-57WD3,sample357,Brain
GTEX-11GSO-0011-R2a-SM-57WDF,sample358,Brain
GTEX-11GSO-0011-R3b-SM-57WB2,sample359,Brain
GTEX-11GSO-0226-SM-5A5LV,sample360,Adipose Tissue
GTEX-11GSO-0626-SM-5A5LW,sample361,Thyroid
GTEX-11GSO-2326-SM-5A5LX,sample362,Adipose Tissue
GTEX-11GSO-2426-SM-5A5LY,sample363,Skin
GTEX-11GSO-2526-SM-5PNVX,sample364,Muscle
GTEX-11GSO-2926-SM-5HL73,sample365,Brain
GTEX-11GSO-3026-SM-5Q5AL,sample366,Brain
GTEX-11GSP-0006-SM-5N9EL,sample367,Blood
GTEX-11GSP-0008-SM-5Q5DM,sample368,Skin
GTEX-11GSP-0011-R10a-SM-5NQ7J,sample369,Brain
GTEX-11GSP-0011-R11b-SM-5NQ7V,sample370,Brain
GTEX-11GSP-0011-R1a-SM-9QEJ3,sample371,Brain
GTEX-11GSP-0011-R2b-SM-9QEGE,sample372,Brain
GTEX-11GSP-0011-R3a-SM-9QEGF,sample373,Brain
GTEX-11GSP-0011-R5a-SM-57WBE,sample374,Brain
GTEX-11GSP-0011-R6b-SM-57WBQ,sample375,Brain
GTEX-11GSP-0011-R7b-SM-57WC3,sample376,Brain
GTEX-11GSP-0011-R8b-SM-5NQ79,sample377,Brain
GTEX-11GSP-0011-R9b-SM-5NQ77,sample378,Brain
GTEX-11GSP-0126-SM-5A5KU,sample379,Thyroid
GTEX-11GSP-1026-SM-9WYSH,sample380,Adipose Tissue
GTEX-11GSP-1126-SM-5A5LM,sample381,Blood Vessel
GTEX-11GSP-1226-SM-5985M,sample382,Heart
GTEX-11GSP-1326-SM-5A5KY,sample383,Heart
GTEX-11GSP-1626-SM-5986N,sample384,Colon
GTEX-11GSP-1726-SM-5A5LI,sample385,Esophagus
GTEX-11GSP-1826-SM-5N9DQ,sample386,Esophagus
GTEX-11GSP-2326-SM-5HL63,sample387,Skin
GTEX-11GSP-2526-SM-5N9BP,sample388,Skin
GTEX-11GSP-2726-SM-5A5LJ,sample389,Muscle
GTEX-11GSP-2926-SM-5N9C2,sample390,Blood Vessel
GTEX-11GSP-3126-SM-5A5LL,sample391,Brain
GTEX-11GSP-3226-SM-5986O,sample392,Brain
GTEX-11H98-0008-SM-5QGR8,sample393,Skin
GTEX-11H98-0011-R10b-SM-5NQ98,sample394,Brain
GTEX-11H98-0011-R11b-SM-5NQ6U,sample395,Brain
GTEX-11H98-0011-R5b-SM-57WCF,sample396,Brain
GTEX-11H98-0011-R8a-SM-5NQ8V,sample397,Brain
GTEX-11H98-0126-SM-5EGHG,sample398,Skin
GTEX-11H98-0226-SM-5NQ89,sample399,Adipose Tissue
GTEX-11H98-0326-SM-5HL4S,sample400,Muscle
GTEX-11I78-0001-SM-5Q5BE,sample401,Blood
GTEX-11I78-0005-SM-5N9GB,sample402,Blood
GTEX-11I78-0008-SM-5Q5DI,sample403,Skin
GTEX-11I78-0226-SM-5HL6R,sample404,Adipose Tissue
GTEX-11I78-0526-SM-5986A,sample405,Thyroid
GTEX-11I78-0726-SM-5A5M1,sample406,Blood Vessel
GTEX-11I78-0826-SM-5A5K4,sample407,Heart
GTEX-11I78-1026-SM-5HL74,sample408,Blood Vessel
GTEX-11I78-1226-SM-5A5K6,sample409,Colon
GTEX-11I78-1326-SM-5PNY9,sample410,Colon
GTEX-11I78-1426-SM-5PNVY,sample411,Esophagus
GTEX-11I78-1526-SM-5A5K7,sample412,Esophagus
GTEX-11I78-2326-SM-5Q5AH,sample413,Blood Vessel
GTEX-11I78-2426-SM-5A5K9,sample414,Muscle
GTEX-11I78-2626-SM-5Q5AI,sample415,Adipose Tissue
GTEX-11LCK-0005-SM-5O98U,sample416,Blood
GTEX-11LCK-0008-SM-5Q5BB,sample417,Skin
GTEX-11LCK-0326-SM-5A5M7,sample418,Adipose Tissue
GTEX-11LCK-0526-SM-5A5M9,sample419,Thyroid
GTEX-11LCK-0726-SM-5PNYC,sample420,Blood Vessel
GTEX-11LCK-0826-SM-5PNYD,sample421,Heart
GTEX-11LCK-0926-SM-5A5KA,sample422,Heart
GTEX-11LCK-1026-SM-5A5KB,sample423,Skin
GTEX-11LCK-1126-SM-5A5KC,sample424,Adipose Tissue
GTEX-11LCK-1226-SM-5Q5AM,sample425,Muscle
GTEX-11LCK-1426-SM-5HL5R,sample426,Blood Vessel
GTEX-11LCK-1526-SM-5HL64,sample427,Esophagus
GTEX-11LCK-1626-SM-5PNYB,sample428,Esophagus
GTEX-11LCK-1726-SM-5S2OQ,sample429,Esophagus
GTEX-11LCK-2026-SM-5A5MA,sample430,Colon
GTEX-11LCK-2226-SM-5HL4Q,sample431,Skin
GTEX-11NSD-0008-SM-5Q5BC,sample432,Skin
GTEX-11NSD-0126-SM-5987F,sample433,Thyroid
GTEX-11NSD-0626-SM-5A5LU,sample434,Skin
GTEX-11NSD-1126-SM-5N9BQ,sample435,Esophagus
GTEX-11NSD-1226-SM-5986Q,sample436,Esophagus
GTEX-11NSD-1626-SM-5986U,sample437,Colon
GTEX-11NSD-2026-SM-5HL5U,sample438,Muscle
GTEX-11NSD-2226-SM-5986V,sample439,Skin
GTEX-11NUK-0005-SM-5MR5F,sample440,Blood
GTEX-11NUK-0008-SM-5Q5B9,sample441,Skin
GTEX-11NUK-0011-R4a-SM-DO12B,sample442,Brain
GTEX-11NUK-0011-R5a-SM-DO93N,sample443,Brain
GTEX-11NUK-0011-R6a-SM-DO93O,sample444,Brain
GTEX-11NUK-0011-R7a-SM-DO93P,sample445,Brain
GTEX-11NUK-0126-SM-5A5L3,sample446,Skin
